,Institution,Country,Artificial Intelligence,Telecommunication Engineering,Medical Science,Disease Analysis,Biomedical Research,Environmental Science,Pharmaceutical Science,Chemical Science,Energy and Power Systems,Social and Business Studies,Keywords,Cluster Keywords,Cluster,Subject Area
591,Glaucoma Center of San Francisco,China,0.0166666666742518,0.0166667188909411,0.0166667957541602,0.0166666666892642,0.8499965821099119,0.0166667173112957,0.0166687032232799,0.0166667622931881,0.0166668522358234,0.0166675348178832,['Not Available'],hiv thailand bone cells poly,5,Biomedical Research
592,Gleneagles Hospital,Denmark,0.4564019341998971,0.0083342244300841,0.0083340030001712,0.3826871804383982,0.0083336422505345,0.1025718440477986,0.008333882893834,0.0083334837172924,0.0083353684455567,0.0083344365764328,"['Antidepressant', 'major depressive disorder', 'real-world study', 'vortioxetine']",learning network data model neural,3,Artificial Intelligence
593,Global Academy of Technology,India,0.007143365564823,0.0071450461714337,0.0071447469891766,0.0071432265137278,0.406128720796811,0.5367197940187511,0.0071438050226169,0.0071434628136582,0.0071435246628374,0.0071443074461638,"['Short-time Fourier Transform', 'Time Domain', 'Interpretable AI', 'Privacy', 'Machine learning', 'Lack Of Transparency', 'Non-zero Estimates', 'Predictive models', 'Interpretable Machine Learning', 'Stability analysis', 'Feature Values', 'Additives', 'Skewness', 'Machine Learning Models', 'Task analysis', 'Security', 'Learning Algorithms', 'Explainable AI', 'SHapley Additive exPlanations', 'Explainable Artificial Intelligence', 'Instances In The Dataset', 'Conditional Expectation', 'SHAP (SHapley Additive exPlanations)', 'Game Theory', 'Kurtosis', 'Complicated Models', 'Polynomial Of Degree', 'Black Box', 'AI', 'Spectral Bandwidth', 'Machine Learning', 'Summary Plots', 'LightGBM', 'Similar Explanation', 'Shapley Value']",control species activity antioxidant thailand,6,Environmental Science
594,Gokila,Viet Nam,0.4404347154676407,0.2591134475479432,0.0076924923779105,0.0076946722360205,0.00769436176242,0.007692664118777,0.246599285039794,0.0076926317707159,0.007693301057724,0.007692428621054,['Not Available'],learning network data model neural,3,Artificial Intelligence
595,Government College of Technology,India,0.8518381189269719,0.0698725682397782,0.002083397988238,0.0020836760100504,0.0020835925759162,0.0020836618360085,0.0637041604711114,0.0020834417217784,0.0020834930891416,0.0020838891410046,"['Security', 'Photovoltaic systems', 'Power Generation System', 'Diode Current', 'Fuzzy logic controller (FLC)', 'Fuzzy logic', 'Intelligent systems', 'Artificial Neural Network', 'Maximum Power Point', 'Output Power', 'Maximum Power', 'Maximum Output Power', 'Solar system', 'P&O', 'Photovoltaic System', 'Electric Power', 'MPPT', 'Maximum Power Point Tracking', 'Greenhouse Gas', 'ANN', 'I-V Curves', 'Solar Photovoltaic', 'Maximum Yield', 'Artificial neural networks', 'Solar System', 'Solar Power', 'Fuzzy Control', 'Maximum power point trackers', 'Solar photovoltaic system (SPV)', 'Renewable Energy', 'Electrical Energy']",learning network data model neural,3,Artificial Intelligence
596,Graduate School of Agricultural and Life Sciences The University of Tokyo,Thailand,0.0071439127098383,0.5229264993941756,0.0071430006795505,0.0071436631247758,0.0071430246283761,0.00714355921767,0.0071440397471089,0.0071443038423613,0.0071469674599257,0.4199210291962175,"['Chemometrics', 'Hyperspectral imaging', 'Processed meat', 'Quality attributes', 'Shelf life', 'Wavelength selection']",cells frequency antenna communication array,7,Telecommunication Engineering
597,Graduate School of Medicine,Singapore,0.0100045613906089,0.0973512600782366,0.1521974366555887,0.6804349441603257,0.0100018140981926,0.0100010740799596,0.010000937791951,0.0100051531255588,0.010000724533911,0.0100020940856666,"['Atopic dermatitis', 'Barrier', 'Filaggrin', 'Lipid', 'Tight junction', 'Treatment']",covid 19 analysis optical acid,4,Disease Analysis
599,Graphic Era Deemed to be University,India,0.3031777181621523,0.1016323430152606,0.1472305388448559,0.0911231426065354,0.0011111954491848,0.0011111926672531,0.0207326620006966,0.0011112388009801,0.0011112648200042,0.3316587036330766,"['Economics', 'Industrial Equipment', 'Indexes', 'Resistance', 'Torque', 'voltage unbalanced', 'Power quality', 'Waveform', 'Voltage Magnitude', 'Power quality disturbances', 'Hybrid Approach', 'Fault Resistance', 'Commercial Equipment', 'Voltage Components', 'Windings', 'Power Quality', 'Normal Conditions', 'Window Length', 'Simulation Model', 'voltage unbalanced factor.', 'Resistant Transformants', 'Quantification Method', 'Voltage Sag', 'Voltage fluctuations', 'Electronic Equipment', 'Induction Motor', 'Standard IEC', 'Reduction In Efficiency', 'voltage sag', 'Phase Voltage', 'Transformer Winding', 'Line Voltage']",thailand social business based technology,1,Social and Business Studies
600,Graphic Era Hill University,India,0.0016954279802131,0.0016958038548156,0.1439046854937149,0.0016954530967237,0.0016950580129893,0.0781596929083813,0.0016950688310156,0.0423801824912503,0.725383304750464,0.0016953225804319,"['Translational Motion', 'PI control', 'Speed Control System', 'Motion Model', 'Speed Control', 'Predictive models', 'Electric Vehicles', 'Control System', 'Synchronous Speed', 'Model Plant', 'Permanent Magnet', 'Synchronous motor', 'PID', 'Constant Speed', 'Control System Design', 'Prime Mover', 'Induction Motor', 'Synchronous Motor', 'Prediction Horizon', 'Model Predictive Control Technique', 'Ziegler-Nichols', 'Power Factor', 'Synchronous motors', 'Control move', 'MPC', 'Proportional-integral-derivative', 'Motor Control', 'Prediction horizon', 'Speed control', 'Model Predictive Control', 'Transfer functions', 'Disturbance Input', 'Power factor correction', 'PD control', 'Velocity control', 'Settling Time', 'Stator Winding']",energy power voltage analysis electric,8,Energy and Power Systems
601,Graphic Era University,India,0.4228038563413814,0.438320934624111,0.0025642312572084,0.0025643873235843,0.0025642537418279,0.0025645577898736,0.0025643837462079,0.002564259639888,0.1209249260479857,0.0025642094879315,"['Translational Motion', 'PI control', 'Speed Control System', 'Motion Model', 'Speed Control', 'Predictive models', 'Electric Vehicles', 'Control System', 'Synchronous Speed', 'Model Plant', 'Permanent Magnet', 'Synchronous motor', 'PID', 'Constant Speed', 'Control System Design', 'Prime Mover', 'Induction Motor', 'Synchronous Motor', 'Prediction Horizon', 'Model Predictive Control Technique', 'Ziegler-Nichols', 'Power Factor', 'Synchronous motors', 'Control move', 'MPC', 'Proportional-integral-derivative', 'Motor Control', 'Prediction horizon', 'Speed control', 'Model Predictive Control', 'Transfer functions', 'Disturbance Input', 'Power factor correction', 'PD control', 'Velocity control', 'Settling Time', 'Stator Winding']",cells frequency antenna communication array,7,Telecommunication Engineering
602,Greater Noida,India,0.0083338955396142,0.2335400086044123,0.008333346836443,0.6997913643937947,0.0083333698407091,0.0083336847455105,0.0083334076913391,0.008333695553506,0.0083336708636289,0.0083335559310418,"['Human Well-being', 'informal sector and sustainable development goals', 'Strain', 'Developed Countries', 'Sustainable Development Goals', 'Low- And Middle-income Countries', 'Developing countries', 'Environmental Effects', 'Intelligent control', 'Government', 'urban mining', 'Environmental Impact', 'Disruption Of Systems', 'Informal Sector', 'sustainable management', 'Latin America', 'Wealthy Countries', 'Electrical Equipment', 'Environmental Problems', 'Persistent Organic Pollutants', 'Life Cycle Assessment', 'E-waste', 'Analytical Framework', 'Life cycle assessment', 'Management Strategies', 'life cycle assessment', 'environmental impacts', 'Electronic waste', 'electronic garbage', 'Ecosystem Services', 'Sustainable development', 'Electronic Equipment', 'circular economy', 'Basel Convention', 'pollution', 'Major Environmental Issue', 'Circular Economy']",covid 19 analysis optical acid,4,Disease Analysis
603,Grenoble Alpes university,Romania,0.7255027836945743,0.0015874087080979,0.0015873264685894,0.0015875155844401,0.0015873241032683,0.001587381229577,0.1942449983129209,0.0015873482191688,0.0691404800151715,0.0015874336641914,"['Deterministic Policy Gradient', 'MADQN', 'artificial intelligence', 'Deep Learning', 'CPE', 'SD-WAN', 'Multi-agent', 'Reward Function', 'Broadband Internet', 'Wide area networks', 'Costs', 'Policy Gradient', 'Process control', 'Deep Reinforcement Learning', 'Actor Network', 'Response Time', 'Headquarters', 'Load management', 'Reinforcement learning', 'Wide Area Network', 'Branch Site', 'Optimal Policy', 'Single Control', 'Latency Constraints', 'Deep Q-network', 'Deep learning', 'Migration Cost', 'Neural Network', 'Limited Processing Capacity', 'Load Balancing', 'Simulation', 'Quality Of Experience', 'Control Plane', 'Processing Capacity']",learning network data model neural,3,Artificial Intelligence
604,Griffith University,Thailand,0.0090917139001742,0.0090929848432729,0.0090916504758121,0.7576886478487355,0.0090920871536935,0.0090928409858931,0.0090920679287381,0.0090935446086084,0.1695725030912603,0.0090919591638115,"['self-efficacy', 'self-management', 'type 2 diabetes']",covid 19 analysis optical acid,4,Disease Analysis
605,Guangdong Academy of Medical Sciences,China,0.8904234191047159,0.0015165589404034,0.0015153522042819,0.0015152036970836,0.0015153603533886,0.0015152602531415,0.0015156243745594,0.0015152126763558,0.0015155096736832,0.0974524987223861,"['Validation Dataset', 'Breast Cancer', 'Feature Maps', 'Breast Magnetic Resonance Imaging', 'Architecture For Prediction', 'Three-dimensional displays', 'Receiver Operating Characteristic Curve', 'CNN Features', 'Regular Items', 'CNN Model', 'Medical Image Analysis', 'Global Average Pooling', 'supplemental information', 'Dynamic Contrast-enhanced Magnetic Resonance Imaging', 'Sensitivity', 'Multi-scale Features', 'aspect overlap loss', 'Heterogeneous Model', 'breast cancer', 'Pathological Features', 'Ki-67 Status', 'Final Prediction', 'Image analysis', 'T2w Magnetic Resonance Imaging', 'Pathological Information', 'Supplementary Information', 'Magnetic resonance imaging', 'Ki-67 status', 'Healthcare', 'dual-path architecture', 'Medical Imaging', 'Transfer Learning', 'Feature Extraction Ability', 'Receivers', 'Transfer Network', 'Down-sampling Operation', 'Pathology', 'Semantic Information', 'Semantic Features', 'Semantics', 'Multi-scale Feature Extraction', 'Magnetic Resonance Imaging', 'General Characteristics']",learning network data model neural,3,Artificial Intelligence
606,Guangdong Medical University,China,0.9709645606975328,0.0032265157110536,0.0032267266306773,0.0032259110782182,0.0032259626621588,0.0032262351527628,0.0032258736842055,0.0032259039230782,0.0032263242594573,0.0032259862008547,"['Multi-core', 'Real-time Detection', 'Improvement In Recall', 'Specific Improvements', 'Processing Speed', 'Visualization', 'Ophthalmology', 'You Only Look Once', 'Computer Vision', 'Average Recall', 'Eye Images', 'Yolo', 'Object Detection Task', 'Object Detection', 'Average F1-score', 'Visual Representation', 'Analysis Of Metrics', 'Real-time systems', 'Key Metrics', 'Analysis Of Performance Metrics', 'Task analysis', 'Dry Eye', 'Real-time Object Detection', 'Deep learning', 'trichiasis detection', 'Measurement', 'Mean Average Precision', 'YOLO', 'Precision And Recall', 'Mobile handsets', 'Performance Metrics', 'Mean F1 Score', 'Frames Per Second', 'Trichiasis', 'Convolutional Neural Network', 'Recall Metrics', 'Mean Of Recall', 'Real-time Scenarios', 'Videos', 'mAP Improvement', 'Generative Adversarial Networks']",learning network data model neural,3,Artificial Intelligence
607,Guangdong Provincial Key Laboratory of Terahertz Quantum Electromagnetics,China,0.0111114627207578,0.0111113365449403,0.5589310044927541,0.0111119541302099,0.0111125426353709,0.0111129795520382,0.0111134931604275,0.0111119618109043,0.3521707671896025,0.0111124977629938,"['Simulation', 'power amplifier', 'Power amplifiers', '40-nm CMOS', 'Power Amplifier', 'integrated circuits', 'Scattering parameters', 'Left Side', 'Lossless', 'Structural Layout', 'Wireless', 'Layout', 'terahertz', 'Information and communication technology', 'Transistors', 'Gate Signals', 'maximum oscillator frequency', 'Feedback Network', 'Network Embedding', 'CMOS technology', 'Sufficient Gain', 'Parasitic Parameters', 'Output Power']",cancer health stress cell thailand,0,Medical Science
609,Guangdong University of Science and Technology,Malaysia,0.0100000000508227,0.0100005048140488,0.9099884667769336,0.0100005009347362,0.0100016444800682,0.0100067841430375,0.0100001694833355,0.0100014252334185,0.0100000017570512,0.0100005023265474,"['Collaborative filtering', 'Cluster Centers', 'Clustering Step', 'Explosive', 'Online Shopping', 'Reviews', 'F1 Values', 'In-depth Research', 'Clustering Algorithm', 'Position Weight Matrices', 'Soft sensors', 'Purchase Decisions', 'Target User', 'Social networking (online)', 'Recommender Systems', 'Personalized Recommendations', 'Integrated circuits', 'Information Table', 'Age Of Information', 'User Clustering', 'E-commerce Websites', 'E-commerce', 'Collaborative Filtering', 'Recommendation Model', 'User Preferences', 'Growth Trend', 'Market research', 'Behavioral Data', 'User Interest', 'Clustering algorithms', 'K-means Algorithm', 'Collaborative Recommendation', 'Traditional Recommendation', 'Information Overload', 'Clustering Effect', 'Precision And Recall', 'Recommendation Algorithm']",cancer health stress cell thailand,0,Medical Science
610,Guangdong University of Technology,China,0.9909995858870342,0.0010001008927392,0.0010000348113417,0.0010000337463955,0.0010000338884127,0.0010000358449303,0.0010000537399498,0.0010000150640623,0.0010000532491464,0.0010000528759874,"['Redundancy', 'Computer science', 'Quotient Values', 'Upper Bound', 'quotient digit selection table', 'Fourth Root', 'Inverse Square Root', 'Error Bounds', 'Upper bound', 'Square Root', 'High radix', 'Linear Function', 'Subintervals', 'Maximum And Minimum', 'Positive Integer', 'redundancy', 'SRT square root', 'SRT division', 'Software', 'Higher Radix', 'Algebraic Method', 'Step Function', 'Microprocessors', 'Indexes', 'Symbols', 'Divisor']",learning network data model neural,3,Artificial Intelligence
611,Guangxi University,China,0.0090930109346557,0.0090920121214601,0.0090924643020807,0.1082261147207771,0.0090914602464683,0.0090927979198069,0.0090929586443116,0.7043632395952628,0.1237617144507454,0.009094227064431,"['Function Of Time', 'Schedules', 'Station Data', 'Multi-objective planning', 'Training Schedule', 'Travel Behaviour', 'Train Travel', 'Costs', 'Number Of People', 'Supply And Demand', 'ideal point method', 'Multi-objective Model', 'Planning Model', 'Rail Transit', 'Software algorithms', 'Passenger Flow', 'Point Distance', 'Ideal Point', 'Number Of Training', 'Operational Costs', 'Stopping Rule', 'Signal processing algorithms', 'Simulated annealing', 'Simulated Algorithm', 'Running Time', 'Multi-objective Optimization', 'Simulated Annealing Algorithm', 'Objective Function', 'Software', 'simulated annealing algorithm', 'Signal processing', 'Operation Scheme']",carbon oil acid properties kidney,9,Chemical Science
612,Guangzhou,China,0.0111116205948811,0.2774757264170556,0.0111119361477445,0.0111136750454547,0.0111135735339359,0.0111118839852073,0.6336273255568211,0.0111116587892555,0.0111113195548648,0.0111112803747787,"['Electrodes', 'Surface discharges', 'Sliding flash discharge', 'Streamer discharge', 'Fault location', 'AC and DC composite voltage', 'Discharges (electric)', 'Intense vertical component electric field', 'Flashover', 'Electric fields', 'Voltage']",vaccine learning drug thai molecular,2,Pharmaceutical Science
613,Guangzhou Institute of Energy Conversion of the Chinese Academy of Sciences,China,0.0090935069811553,0.0090916975139703,0.2902791767462993,0.0090914187341134,0.0090921635754154,0.0090913053908833,0.3840135482834452,0.0090919632640844,0.0090911475872548,0.2620640719233782,"['Bio-syngas', 'Biomass', 'Fischer-Tropsch synthesis (FTS)', 'FT-Oli', 'Isomerized hydrocarbon', 'Oligomerization']",vaccine learning drug thai molecular,2,Pharmaceutical Science
614,Guangzhou University,Australia,0.7779437966723113,0.1470539661475728,0.0012500386548074,0.0012500459223953,0.0012501297587922,0.0012501008909685,0.0662514575639611,0.0012500961323412,0.0012501483605364,0.0012502198963133,"['Increase In Workload', 'Processing Delay', 'Memory Usage', 'Cluster Nodes', 'Master Node', 'edge computing', 'Edge Clustering', 'Hadoop Distributed File System', 'Internet Of Things Devices', 'Performance Metrics', 'Edge computing', 'Unhealthy', 'Artificial Neural Network', 'Task analysis', 'Edge Nodes', 'smart city', 'distributed systems', 'Edge Computing', 'Smart cities', 'Big Data', 'Big Data Processing', 'Round-trip Delay', 'Resource management', 'Worker Nodes', 'Internet of Things', 'Apache Spark', 'self-organized maps (SOMs)', 'Task Allocation', 'Smart City', 'Big data', 'Computing Devices', 'CPU Usage', 'Scheduling Mechanism', 'Edge Devices', 'Monitoring', 'Failure Detection', 'Internet Of Things', 'Self-organizing Map', 'Node Failure', 'Weight Matrix', 'Node Status']",learning network data model neural,3,Artificial Intelligence
615,Guangzhou University of Chinese Medicine,China,0.0125002749146393,0.0125009964021781,0.4141678188566486,0.4858171779709498,0.0125028118153959,0.0125017156586603,0.0125041450952318,0.0125013954072785,0.0125001913137692,0.0125034725652481,"['Cognitive Impairment In Patients', 'Cognitive Impairment', 'Convolutional Layers', 'Multi-modal Neuroimages', 'Laplacian Regularization', 'Diabetes Mellitus', 'Diffusion Tensor Imaging', 'Diagnosis Of Cognitive Impairment', 'Contrastive Laplacian Regularization', 'Body Mass Index', 'Laplacian Matrix', 'Meta-data', 'Accuracy', 'Medical diagnostic imaging', 'Diabetes', 'Small Datasets', 'Cognitive Impairment In Type', 'Brain Disorders', 'Mild Cognitive Impairment', 'Multimodal Network', 'Clinical Metadata', 'Graph Convolutional Network', 'Laplace equations', 'Early Cognitive Impairment', 'Task analysis', 'Deep learning', 'Montreal Cognitive Assessment', 'Magnetic Resonance Imaging', 'In-house Dataset', 'Deep Learning', 'Multimodal Learning', 'Medical Image Analysis', 'Brain Alterations', 'Early Impairment', 'Impaired Type', 'Memory Bank', 'Chronic Metabolic Disorder', 'Metadata', 'Extensive Experiments', 'Type 2 Diabetes Mellitus']",covid 19 analysis optical acid,4,Disease Analysis
616,Guilin University of Electronic Technology,China,0.72366683202508,0.0011113968588946,0.0011111724854405,0.164345834914419,0.0011111551971896,0.0011113829167438,0.0011111574543539,0.0011113201738249,0.1042084733635832,0.0011112746104701,"['Feature Information', 'Redundant Information', 'Graph Neural Networks', 'Pooled Rate', 'Adaptive Layer', 'Multiple Perspectives', 'Communications technology', 'Performance In Classification Tasks', 'Node Embeddings', 'Graph Convolution', 'Node Score', 'Infographic', 'Model In This Paper', 'Trainable Parameters', 'Batch Size', 'Fuses', 'Graph Convolutional Network', 'Convolutional Neural Network', 'Task analysis', 'Linear Layer', 'graph classification', 'Neighborhood Information', 'readout layer', 'Second-order Information', 'Important Nodes', 'graph pooling', 'Graph Structure', 'Attention Mechanism', 'Graphical Representation', 'Multilayer Perceptron', 'Graph Classification', 'Structural Information', 'Node Information', 'Method In This Paper', 'Representative Graph', 'Pooling Layer']",learning network data model neural,3,Artificial Intelligence
617,Guntur,Italy,0.0125012029515093,0.0125007861836768,0.0125052615294,0.0125007200004814,0.0125087775353238,0.0125022507803979,0.0125013512446685,0.887472720176638,0.0125012209993174,0.0125057085985864,"['Games', 'Computers', 'Cloud computing', 'Distributed computing', 'Data privacy', 'Security', 'Education']",carbon oil acid properties kidney,9,Chemical Science
618,Guru Nanak University,India,0.7133622089002849,0.0013334179479348,0.053657275588399,0.2236457980827982,0.001333584018754,0.0013334862015785,0.0013334647408561,0.0013335192830053,0.0013335677672322,0.0013336774691566,"['Naive Bayes methods', 'complement naive bayes', 'Fast Speed', 'naïve bayes', 'Imbalanced Data', 'Class Values', 'Inherent Issues', 'Time In Seconds', 'Naive Method', 'Lowest Class', 'Engineering profession', 'Training', 'Low Memory', 'Overview Of Methodology', 'Bayesian Classifier', 'Support Vector Machine', 'Imbalanced Datasets', 'attributes', 'Performance analysis', 'Balanced Dataset', 'Hadoop', 'Class Probabilities', 'Market research', 'Big Data', 'Training Examples', 'Data Mining Technology', 'Memory Space', 'Inherent', 'Classification Performance', 'Failure Model', 'Probabilistic Model', 'Training Dataset', 'Positive Class', 'Working Model', 'Working Time', 'Imbalanced Dataset', 'Classification Datasets', 'Libraries', 'class', 'Computational modeling', 'Learning Algorithms']",learning network data model neural,3,Artificial Intelligence
620,HJF,United Kingdom,0.0125066735842252,0.8874736823018603,0.0125000001249467,0.0125015070824608,0.012501826987343,0.0125005421227061,0.0125054134007133,0.0125011544438029,0.0125066132693889,0.0125025866825522,"['Dengue fever', 'Diagnostic device', 'Field testing', 'Lateral flow immunoassay', 'Malaria', 'Nested PCR']",cells frequency antenna communication array,7,Telecommunication Engineering
622,Hainan Aerospace Information Research Institute,China,0.4428014825304447,0.0142908993620165,0.4428857562784459,0.0142957331650371,0.0142905323076422,0.0142875337215064,0.0142879693379068,0.0142862759645249,0.0142862985733162,0.014287518759159,"['Unmanned Aerial Vehicle Data', 'Rough surfaces', 'Penetration Depth', 'Synthetic aperture radar', 'Sea Ice', 'Radar Signal', 'Thin Ice', 'Ice Surface', 'Arctic Ice', 'Arctic Sea Ice', 'Mixture Of Ice', 'Sea ice', 'Surface roughness', 'Sea Ice Melt', 'Synthetic Aperture Radar', 'Calm Water', 'Sea surface', 'Ice', 'Polarization Combinations', 'Aerial Images', 'Incident Angle', 'Root Mean Square Error', 'synthetic aperture radar (SAR)', 'sea ice', 'Surface topography', 'Bohai Sea', 'Minute Intervals', 'Sea Surface', 'Sea Ice Surface', 'sea ice roughness', 'Ice Types', 'Unmanned Aerial Vehicles', 'Short Wavelength', 'Spaceborne Synthetic Aperture Radar', 'LiDAR', 'Ice Samples', 'Field Experiments', 'Ice Cover', 'Seawater']",cancer health stress cell thailand,0,Medical Science
623,Hainan Medical University,China,0.0055584895715162,0.0055574051622119,0.005555801683837,0.0055555897413133,0.0055559942499048,0.0055567545846336,0.0055562042042422,0.9499884883096952,0.0055573172153344,0.0055579552773108,"['Heart', 'mind', 'psychocardiology', 'thalassemia']",carbon oil acid properties kidney,9,Chemical Science
624,Hamad Bin Khalifa University,Malaysia,0.2884864275894092,0.0020004536041507,0.0020003289454222,0.0020004200852913,0.002000293647769,0.0692563502545522,0.0020001151086567,0.0020001788054166,0.6282550919968727,0.0020003399624589,"['Non-dominated Sorting Genetic Algorithm', 'Swarming Behavior', 'Fog computing', 'Resource management', 'Energy consumption', 'Internet of things', 'Simulation', 'Renewable Energy', 'Smart City', 'Multi-objective Evolutionary Algorithms', 'Sum Of Delay', 'Internet Of Things', 'Types Of Delays', 'Fog Nodes', 'Increase In Workload', 'Performance Of Algorithm', 'Evolutionary Algorithms', 'evolutionary algorithms', 'multi-objective optimization', 'Stochastic Method', 'Power Devices', 'Power Consumption', 'Performance evaluation', 'Pareto Front', 'Internet Of Things Devices', 'Internet of Things', 'Load Model', 'Fog Computing', 'Machine Learning Methods', 'Mathematical Methods', 'Energy Consumption', 'Load Balancing', 'Field Scenarios', 'Evolutionary computation', 'Transmission Power', 'Terminal Nodes', 'Fog Environment', 'Delays', 'workload allocation', 'Workload Allocation']",energy power voltage analysis electric,8,Energy and Power Systems
625,Hamilton Health Sciences,Thailand,0.0125002143027112,0.0125000000901213,0.0125007847060324,0.012504382107399,0.3862233829200024,0.0125006613555876,0.0125005877804855,0.0125050769413236,0.0125003830143605,0.5137645267819763,['Not Available'],thailand social business based technology,1,Social and Business Studies
626,Hammersmith Hospital,United Kingdom,0.0125079308760964,0.0125003616769558,0.0125058543430068,0.0125093489647425,0.4802658439667813,0.0125031931027744,0.4197046591828907,0.0125007142929219,0.0125015010340684,0.0125005925597616,"['Endoplasmic reticulum stress', 'Molecular neurobiology', 'Mood disorders', 'Neurodegeneration', 'Neuroprogression', 'Unfolded protein response']",hiv thailand bone cells poly,5,Biomedical Research
627,Hangzhou,Canada,0.0066668345445038,0.1524802873066841,0.0066692305395546,0.0066677162799951,0.006667584336536,0.006667338741199,0.0066666921830746,0.4128017433698994,0.0066681194317528,0.3880444532668001,"['proximal policy optimization', 'Topology', 'Frequency synthesizers', 'deterministic optimization', 'Design automation', 'Optimization', 'Circuit topology', 'Transient analysis', 'Performance evaluation', 'Analog circuit topology synthesis', 'frequency compensation']",carbon oil acid properties kidney,9,Chemical Science
628,Hangzhou Dianzi University,China,0.3329677571487568,0.001852123177294,0.0018520596684658,0.0018521982834982,0.0018520871737405,0.0018520465403806,0.6522148970583254,0.0018523265881759,0.0018522835109847,0.0018522208503778,"['Reference Pixels', 'Video Images', 'CTU-level', 'Integer-Motion Estimation', 'Sum Of Absolute Differences', 'Encoding', 'Pixel Block', 'Motion Estimation', 'Search Algorithm', 'Pixel Window', 'Video Compression', 'Video Encoding', 'Motion Information', 'Hardware Resources', 'Original Block', 'Coding Unit', 'Search Point', 'External Memory', 'Parallel Way', 'Video Sequences', 'hardware architecture', 'Video sequences', 'Hardware', 'Performance Loss', 'Video compression', 'Search Accuracy', 'Motion Vector', 'Video coding', 'Bitrate', 'Search Range', 'Encoder Architecture', 'Search Window', 'Prediction algorithms', 'A VS3', 'Computer architecture', 'Search Module', 'Hardware Architecture', 'Original Pixel']",vaccine learning drug thai molecular,2,Pharmaceutical Science
629,Hangzhou Hikvision Digital Technology,China,0.0111152386271896,0.0111111948783247,0.0111112909292226,0.0111119064657437,0.0111134758954625,0.0111111301367692,0.8999863773572455,0.0111122023025347,0.0111155339135849,0.0111116494939219,"['Pearson Correlation', 'Analysis Of Products', 'Cultural Heritage', 'Standard Graph', 'Ridge Regression Model', 'Algorithm structure', 'Linear Model', 'Degree Of Weathering', 'Product Categories', 'Mathematical models', 'Correlation Analysis', 'Predictive models', 'Chemical Composition Content', 'Expected Value', 'Chemical Concentration', 'Weathering', 'Random Forest Method', 'Ancient glassware', 'Classification Results', 'Glass', 'High Potassium Content', 'Cultural Relics', 'Hyperkalemia', 'Regression Analysis Method', 'Correlation', 'Typical Glass', 'Correlation analysis', 'Chemical Composition Of Products', 'Training', 'Ridge Regression', 'Analytical models', 'Chemical Composition', 'Identification Of Products', 'Classification Algorithms', 'Composition Of Products', 'Different Types Of Products', 'Box Diagrams', 'Reference For Research', 'Pearson Correlation Analysis']",vaccine learning drug thai molecular,2,Pharmaceutical Science
630,Hannover Medical School,France,0.0090909091085022,0.918177832427317,0.009090909129755,0.0090909091431373,0.0090909330653208,0.0090911963035614,0.0090941153115368,0.0090913558717921,0.0090909091333592,0.0090909305057178,"['entecavir', 'HBeAg negative hepatitis B virus infection', 'nucleos(t)ide discontinuation', 'tenofovir', 'Virological relapse']",cells frequency antenna communication array,7,Telecommunication Engineering
631,Hanoi University of Science,Thailand,0.009091373960463,0.0090920480199157,0.0090910742883913,0.0090914189164875,0.0090929857192082,0.0090916547777578,0.0090916701433459,0.0090915531937211,0.0090924098373484,0.9181738111433608,['Not Available'],thailand social business based technology,1,Social and Business Studies
632,Hanoi University of Science and Technology,Viet Nam,0.172911486716718,0.00135156686309,0.0013514548232651,0.0013514017592875,0.0013513693493603,0.0013513787348009,0.0013515668493501,0.0013515864415108,0.8162766771113564,0.0013515113512604,"['High Performance', 'High Speed', 'Important Metrics', 'Detection Challenge', 'Streaming media', 'Track Model', 'Object Tracking', 'Switches', 'Translational Motion', 'Real-time systems', 'Measurement', 'Kalman Filter', 'Task analysis', 'Results Of Experiments', 'Multiple Object Tracking', 'multiple object tracking', 'Robust Tracking', 'Bounding Box', 'Tracking Error', 'OC-SORT', 'Object tracking', 'Video Capture', 'Bee Colonies', 'Convolutional Neural Network', 'Multiple Tracking', 'Object Detection', 'honeybee', 'Pattern recognition', 'Background Subtraction']",energy power voltage analysis electric,8,Energy and Power Systems
634,Hanyang University,France,0.0038465552628968,0.0038464173129014,0.7244421947130602,0.0038464085579529,0.2447851792354686,0.0038471554084594,0.0038468916065297,0.003846604390381,0.0038463254138327,0.0038462680985171,['Not Available'],cancer health stress cell thailand,0,Medical Science
